brand,name,shade_code,sku,category,unit,notes
Wella Professionals,Koleston Perfect Pure Naturals,5/0,,colour,tube,
Wella Professionals,Koleston Perfect Pure Naturals,6/0,,colour,tube,
Wella Professionals,Koleston Perfect Pure Naturals,7/0,,colour,tube,
Wella Professionals,Koleston Perfect Pure Naturals,8/0,,colour,tube,
Wella Professionals,Koleston Perfect Pure Naturals,9/0,,colour,tube,
Wella Professionals,Koleston Perfect Rich Naturals,7/3,,colour,tube,Golden warm brown
Wella Professionals,Koleston Perfect Rich Naturals,9/16,,colour,tube,Ash violet blonde
Wella Professionals,Koleston Perfect Special Blonde,12/0,,colour,tube,High-lift natural
Wella Professionals,Color Touch Sunlights,/34,,colour,tube,Balayage toning
Wella Professionals,Color Touch,9/86,,colour,tube,Demi-permanent pearl blonde
Wella Professionals,Welloxon Perfect 20vol,,WO20,developer,bottle,6% — grey coverage
Wella Professionals,Welloxon Perfect 30vol,,WO30,developer,bottle,9% — use 1:1 with Koleston
Wella Professionals,Color Touch Emulsion 13vol,,,developer,bottle,4% — for Color Touch
Wella Professionals,Blondor Multi Blonde Powder,,,colour,each,Lightener — up to 7 levels
Wella Professionals,INVIGO Color Brilliance Shampoo,,,shampoo,bottle,Colour-treated hair
Wella Professionals,INVIGO Color Brilliance Conditioner,,,conditioner,bottle,Colour-treated hair
Schwarzkopf Professional,IGORA Royal Naturals,5-0,,colour,tube,
Schwarzkopf Professional,IGORA Royal Naturals,7-0,,colour,tube,
Schwarzkopf Professional,IGORA Royal Naturals,9-0,,colour,tube,
Schwarzkopf Professional,IGORA Royal,8-77,,colour,tube,Copper blonde
Schwarzkopf Professional,IGORA Royal Cools,"9,5-1",,colour,tube,Pastel ash toner
Schwarzkopf Professional,IGORA Royal Oil Developer 9%,,,developer,bottle,30vol equivalent
Schwarzkopf Professional,BlondMe Premium Lift 9+,,,colour,sachet,Foil work only
Schwarzkopf Professional,BlondMe Premium Developer 9%,,,developer,bottle,Use with BlondMe lifters
Schwarzkopf Professional,Fibreplex No.1 Bond Booster,,,treatment,bottle,Additive for colour and lightening
Kevin Murphy,HYDRATE-ME.WASH,,,shampoo,bottle,Dry/colour-treated hair
Kevin Murphy,HYDRATE-ME.RINSE,,,conditioner,bottle,Dry/colour-treated hair
Kevin Murphy,ANGEL.WASH,,,shampoo,bottle,Fine hair
Kevin Murphy,ANGEL.RINSE,,,conditioner,bottle,Fine hair
Kevin Murphy,LEAVE-IN.REPAIR,,,treatment,bottle,Take-home aftercare
Kevin Murphy,KILLER.CURLS,,,styling,bottle,
Kevin Murphy,SESSION.SPRAY,,,styling,bottle,Strong-hold finishing spray
GHD,Heat Protection Spray,,,styling,bottle,Pre-blowdry
